_id_obat,_nama_obat,_nama_obat_internasional
3987,selekoksib,celecoxib
4022,sertralin,sertraline
4025,serum antidifteri (A.D.S),diphtheria antitoxin
4026,serum antirabies,rabies serum
4027,serum antitetanus (A.T.S),tetanus antitoxin
4031,setirizin,cetirizine
4036,setuksimab,cetuximab
4038,sevelamer karbonat,sevelamer carbonate
4040,sevofluran,sevoflurane
4042,sianokobalamin (vitamin B12),cyanocobalamin
4056,siklofosfamid,cyclophosphamide
4064,siklopentolat,cyclopentolate
4067,siklosporin,ciclosporin
4073,sildenafil,sildenafil
4077,silodosin,silodosin
4079,silostazol,cilostazol
4089,simvastatin,simvastatin
4111,siprofloksasin,ciprofloxacin
4122,sisplatin,cisplatin
4124,sitagliptin,sitagliptin
4129,sitarabin,cytarabine
4137,sodium hialuronat,sodium hyaluronate
4138,sofosbuvir,sofosbuvir
4142,solifenasin,solifenacin
4147,somatostatin,somatostatin
4150,somatropin,somatropin
4164,spiramisin,spiramycin
4167,spironolakton,spironolactone
4170,stannous pyrophosphate,stannous pyrophosphate
4181,streptokinase,streptokinase
4182,streptomisin,streptomycin
4188,sufentanil,sufentanil
4189,sugammadeks,sugammadex
4190,sukralfat,sucralfate
4195,suksinilkolin,succinylcholine
4200,sulfadiazin,sulfadiazine
4227,sulfasalazin,sulfasalazine
4235,sulfur colloid,colloidal sulfur
4252,surfaktan,surfactan
4253,surgical ginggival pack,surgical ginggival pack
4266,takrolimus,tacrolimus
4276,tamoksifen,tamoxifen
4277,tamsulosin,tamsulosin
4298,technetium 99m,technetium 99m
4355,telbivudin,telbivudine
4357,telmisartan,telmisartan
4372,temozolomid,temozolomide
4381,tenofovir alafenamide fumarat,tenofovir alafenamide fumarate
4383,tenofovir disoproksil fumarat,tenofovir disoproxil fumarate
4388,teofilin,theophylline
4393,terazosin,terazosin
4394,terbinafin,terbinafine
4395,terbutalin,terbutaline
4406,testosteron,testosterone
4408,tetanus toxoid,tetanus toxoid
4410,tetrakain,tetracaine
4413,tetrasiklin,tetracycline
4422,tiamazol,thiamazole
4424,tiamin (vitamin B1),thiamine (vit B1)
4441,tikagrelor,ticagrelor
4458,timolol,timolol
4471,tiopental,thiopental
4479,tiotropium,tiotropium
4500,tobramisin,tobramycin
4524,topiramat,topiramate
4528,tosilizumab,tocilizumab
4536,tramadol,tramadol
4547,trastuzumab,trastuzumab
4551,travoprost,travoprost
4559,triamsinolon asetonid,triamcinolone acetonide
4571,trifluoperazin,trifluoperazine
4576,triheksifenidil,trihexyphenidyl
4619,tropikamid,tropicamide
4626,tuberkulin protein purified derivative,tuberculin protein purified derivative
4648,urea,urea
4655,vaksin BCG,BCG vaccine
4836,vaksin COVID-19 platform inactivated,vaksin COVID-19 platform inactivated
4847,vaksin COVID-19 platform mRNA,COVID-19 vaccine - mRNA platform
4848,vaksin COVID-19 platform protein sub unit rekombinan,COVID-19 vaccine - recombinant protein subunit platform
4657,vaksin DPT-HB-Hib,DPT-HB-Hib vaccine
4659,vaksin hepatitis B rekombinan,recombinant hepatitis B vaccine
4849,vaksin human papilomavirus,human papillomavirus vaccine
4850,vaksin human rotavirus,human rotavirus vaccine
4851,"vaksin Japanese encephalitis, live attenuated",live attenuated Japanese encephalitis vaccine
4660,vaksin jerap difteri tetanus (DT),diphtheria tetanus (DT) vaccine
4661,vaksin jerap tetanus difteri (Td),tetanus diphtheria (Td) vaccine
4666,vaksin measles rubella (MR),measles rubella (MR) vaccine
4845,vaksin pneumokokus polisakarida konjugasi,conjugate polysaccharide pneumococcal vaccine
4668,vaksin polio IPV,IPV polio vaccine
4669,vaksin polio oral (b-OPV),oral polio vaccine (b-OPV)
4670,"vaksin rabies, untuk manusia","rabies vaccine, for humans"
4672,valasiklovir,valaciclovir
4677,valgansiklovir,valganciclovir
4679,valproat,valproate
4682,valsartan,valsartan
4691,vankomisin,vancomycin
4696,vasopresin,vasopressin (argipressin)
4706,verapamil,verapamil
4719,vildagliptin,vildagliptin
4724,vinblastin,vinblastine
4731,vinkristin,vincristine
4732,vinorelbin,vinorelbine
4869,"vitamin B kompleks mengandung vitamin B1, vitamin B6, vitamin B12","vitamin complex B contains vitamin B1, vitamin B6, vitamin B12"
4749,vorikonazol,voriconazole
4757,warfarin,warfarin
4772,zidovudin,zidovudine
4778,zinc,zinc
4792,zonisamid,zonisamide
